City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,56.16,70,0,12.95,AU,2023-04-18 13:55:59
1,Haines Junction,60.7522,-137.5108,28.35,80,100,17.27,CA,2023-04-18 13:55:59
2,Glendive,47.1053,-104.7125,41.7,52,20,11.5,US,2023-04-18 13:56:00
3,Albany,42.6001,-73.9662,45.03,67,15,3.0,US,2023-04-18 13:55:09
4,Ejido,8.5514,-71.2375,74.66,77,87,5.12,VE,2023-04-18 13:56:00
5,Nanortalik,60.1432,-45.2371,32.74,88,95,1.19,GL,2023-04-18 13:54:23
6,Longyearbyen,78.2186,15.6401,31.84,80,75,25.32,SJ,2023-04-18 13:56:00
7,Margate,51.3813,1.3862,51.31,75,100,8.01,GB,2023-04-18 13:56:00
8,Punta Arenas,-53.15,-70.9167,44.71,81,0,26.46,CL,2023-04-18 13:51:41
9,Caraquet,47.7941,-64.9386,37.94,99,100,14.52,CA,2023-04-18 13:56:00
10,Umea,63.8284,20.2597,48.13,49,0,5.75,SE,2023-04-18 13:52:30
11,Plettenberg Bay,-34.0527,23.3716,68.11,64,0,4.59,ZA,2023-04-18 13:56:00
12,Isangel,-19.55,169.2667,79.77,82,48,15.5,VU,2023-04-18 13:56:01
13,Nizhniy Tsasuchey,50.5167,115.1333,35.91,32,64,7.45,RU,2023-04-18 13:56:01
14,Bredasdorp,-34.5322,20.0403,75.25,38,0,8.16,ZA,2023-04-18 13:56:01
15,East London,-33.0153,27.9116,76.14,78,40,8.05,ZA,2023-04-18 13:56:01
16,Tuktoyaktuk,69.4541,-133.0374,3.2,85,100,12.66,CA,2023-04-18 13:56:01
17,Ribeira Grande,38.5167,-28.7,63.0,55,20,11.5,PT,2023-04-18 13:47:39
18,Mahebourg,-20.4081,57.7,79.09,83,75,14.97,MU,2023-04-18 13:56:02
19,Khatanga,71.9667,102.5,-2.4,100,73,5.06,RU,2023-04-18 13:47:17
20,Urumqi,43.801,87.6005,40.15,65,40,8.95,CN,2023-04-18 13:56:02
21,Hermanus,-34.4187,19.2345,71.8,63,0,7.45,ZA,2023-04-18 13:46:45
22,Saint-Philippe,-21.3585,55.7679,80.19,85,46,12.26,RE,2023-04-18 13:47:02
23,Adrar,20.5022,-10.0711,95.0,16,33,12.12,MR,2023-04-18 13:47:52
24,Ilulissat,69.2167,-51.1,26.62,80,100,5.75,GL,2023-04-18 13:47:40
25,Barrow,71.2906,-156.7887,-14.78,84,0,8.05,US,2023-04-18 13:47:11
26,Rikitea,-23.1203,-134.9692,78.4,78,75,16.49,PF,2023-04-18 13:46:50
27,Hlotse,-28.8718,28.045,73.45,17,0,2.21,LS,2023-04-18 13:56:05
28,Ushuaia,-54.8,-68.3,40.66,87,75,16.11,AR,2023-04-18 13:56:05
29,San Patricio,28.017,-97.5169,72.84,79,100,15.03,US,2023-04-18 13:47:25
30,Havoysund,70.9963,24.6622,43.03,87,100,16.58,NO,2023-04-18 13:56:05
31,Kaeo,-35.1,173.7833,68.32,95,95,9.6,NZ,2023-04-18 13:46:57
32,Port Elizabeth,-33.918,25.5701,75.49,71,0,4.61,ZA,2023-04-18 13:44:07
33,Fortuna,40.5982,-124.1573,39.34,94,31,5.01,US,2023-04-18 13:47:11
34,Otane,-39.8833,176.6333,63.01,92,34,4.52,NZ,2023-04-18 13:56:06
35,Penzance,50.1186,-5.5371,56.52,67,20,14.97,GB,2023-04-18 13:56:06
36,Asau,46.4333,26.4,49.12,95,100,4.52,RO,2023-04-18 13:56:07
37,Morros,-9.4467,-46.3003,89.87,50,96,1.77,BR,2023-04-18 13:56:07
38,Mezhdurechensk,53.6942,88.0603,22.95,84,100,16.51,RU,2023-04-18 13:56:08
39,Kenai,60.5544,-151.2583,28.15,79,0,0.0,US,2023-04-18 13:48:12
40,Cape Town,-33.9258,18.4232,73.81,56,0,11.5,ZA,2023-04-18 13:42:13
41,Lichtenburg,-26.152,26.1597,77.88,13,0,6.67,ZA,2023-04-18 13:56:08
42,Komsomolskiy,40.4272,71.7189,56.12,41,100,11.5,UZ,2023-04-18 13:56:08
43,Quelimane,-17.8786,36.8883,78.57,65,45,6.71,MZ,2023-04-18 13:56:08
44,Sao Joao Da Barra,-21.6403,-41.0511,86.09,63,26,9.13,BR,2023-04-18 13:48:18
45,Padang,-0.9492,100.3543,78.85,87,100,3.31,ID,2023-04-18 13:46:45
46,Provideniya,64.3833,-173.3,21.33,98,99,3.38,RU,2023-04-18 13:47:50
